Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Year
4.0,SS,Ozzie Smith#,26.0,110.0,507.0,450.0,53.0,100.0,11.0,2.0,0.0,21.0,22.0,12.0,41.0,37.0,0.222,0.294,0.256,0.5489999999999999,62.0,115.0,8.0,5.0,10.0,1.0,1.0,1981
5.0,3B,Luis Salazar,25.0,109.0,424.0,400.0,37.0,121.0,19.0,6.0,3.0,38.0,11.0,8.0,16.0,72.0,0.303,0.32899999999999996,0.40299999999999997,0.732,113.0,161.0,7.0,1.0,5.0,2.0,2.0,1981
6.0,LF,Gene Richards*,27.0,104.0,453.0,393.0,47.0,113.0,14.0,12.0,3.0,42.0,20.0,8.0,53.0,44.0,0.28800000000000003,0.373,0.40700000000000003,0.78,128.0,160.0,6.0,1.0,5.0,1.0,3.0,1981
7.0,CF,Ruppert Jones*,26.0,105.0,451.0,397.0,53.0,99.0,34.0,1.0,4.0,39.0,7.0,9.0,43.0,66.0,0.249,0.318,0.37,0.688,101.0,147.0,7.0,0.0,4.0,7.0,2.0,1981
8.0,RF,Joe Lefebvre*,25.0,86.0,286.0,246.0,31.0,63.0,13.0,4.0,8.0,31.0,6.0,4.0,35.0,33.0,0.256,0.35200000000000004,0.439,0.7909999999999999,130.0,108.0,12.0,2.0,2.0,1.0,7.0,1981
1.0,C,Carlos Hernandez,31.0,129.0,417.0,390.0,34.0,102.0,15.0,0.0,9.0,52.0,2.0,2.0,16.0,54.0,0.262,0.305,0.369,0.674,83.0,144.0,19.0,9.0,0.0,2.0,2.0,1998
2.0,1B,Wally Joyner*,36.0,131.0,494.0,439.0,58.0,131.0,30.0,1.0,12.0,80.0,1.0,2.0,51.0,44.0,0.298,0.37,0.45299999999999996,0.8240000000000001,124.0,199.0,11.0,1.0,0.0,3.0,8.0,1998
3.0,2B,Quilvio Veras#,27.0,138.0,612.0,517.0,79.0,138.0,24.0,2.0,6.0,45.0,24.0,9.0,84.0,78.0,0.267,0.373,0.35600000000000004,0.7290000000000001,101.0,184.0,6.0,6.0,1.0,4.0,2.0,1998
4.0,SS,Chris Gomez,27.0,145.0,516.0,449.0,55.0,120.0,32.0,3.0,4.0,39.0,1.0,3.0,51.0,87.0,0.267,0.34600000000000003,0.379,0.725,98.0,170.0,11.0,5.0,7.0,3.0,7.0,1998
5.0,3B,Ken Caminiti#,35.0,131.0,536.0,452.0,87.0,114.0,29.0,0.0,29.0,82.0,6.0,2.0,71.0,108.0,0.252,0.353,0.509,0.862,132.0,230.0,6.0,4.0,0.0,8.0,4.0,1998
6.0,LF,Greg Vaughn,32.0,158.0,661.0,573.0,112.0,156.0,28.0,4.0,50.0,119.0,11.0,4.0,79.0,121.0,0.272,0.363,0.597,0.96,156.0,342.0,7.0,5.0,0.0,4.0,6.0,1998
7.0,CF,Steve Finley*,33.0,159.0,674.0,619.0,92.0,154.0,40.0,6.0,14.0,67.0,12.0,3.0,45.0,103.0,0.249,0.301,0.401,0.7020000000000001,90.0,248.0,9.0,3.0,3.0,4.0,0.0,1998
8.0,RF,Tony Gwynn*,38.0,127.0,505.0,461.0,65.0,148.0,35.0,0.0,16.0,69.0,3.0,1.0,35.0,18.0,0.321,0.364,0.501,0.865,133.0,231.0,14.0,1.0,0.0,8.0,6.0,1998
1.0,C,Gene Tenace,32.0,151.0,582.0,463.0,61.0,122.0,16.0,4.0,20.0,67.0,2.0,6.0,105.0,106.0,0.263,0.40299999999999997,0.445,0.848,139.0,206.0,7.0,7.0,1.0,6.0,4.0,1979
2.0,1B,Dan Briggs*,26.0,104.0,254.0,227.0,34.0,47.0,4.0,3.0,8.0,30.0,2.0,1.0,18.0,45.0,0.207,0.27699999999999997,0.35700000000000004,0.634,78.0,81.0,3.0,5.0,1.0,3.0,5.0,1979
3.0,2B,Fernando Gonzalez,29.0,114.0,341.0,323.0,22.0,70.0,13.0,3.0,9.0,34.0,0.0,0.0,18.0,34.0,0.217,0.258,0.359,0.617,72.0,116.0,8.0,0.0,0.0,0.0,11.0,1979
